created_at_est,polarity,tweet
2022-03-05 04:33:13-05:00,1,@teslaownersSV A beautiful home for life
2022-03-04 20:41:59-05:00,0,"Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously to make up for Russian oil &amp; gas exports."
2022-03-04 17:33:29-05:00,1,@RenataKonkoly @MLUKBrandenburg @gigafactory_4 @Gf4Tesla @Gruenheide4futr @Stk_Brandenburg Haha sure :)
2022-03-04 15:10:16-05:00,1,@MLUKBrandenburg @gigafactory_4 @Gf4Tesla @Gruenheide4futr @Stk_Brandenburg Ich möchte mich recht herzlich bedanken. Die Zukunft ist sehr spannend! 🇩🇪 🇩🇪
2022-03-03 23:14:21-05:00,1,@teslaownersSV @tobyliiiiiiiiii Game on
2022-03-03 13:55:58-05:00,1,"@Teslarati @ResidentSponge In class action lawsuits, the actual plaintiff is always the class action law firm. They just find someone willing to serve as a puppet to “represent the class”."
2022-03-03 12:22:20-05:00,1,"@WhatsupFranks @Teslarati @ResidentSponge Yeah, maybe 98"
2022-03-03 12:17:34-05:00,0,@Teslarati @ResidentSponge This old YouTube clip helps explain why former UAW members who work at Tesla are not huge fans of UAW  https://t.co/dncVvZrkoL
2022-03-03 01:31:08-05:00,0,"@ICannot_Enough @genesimmons @JoeBiden By the way, Tesla factory worker compensation is the highest in the auto industry  https://t.co/Peo3qtYc5D"
2022-03-03 00:57:31-05:00,0,"@ICannot_Enough @genesimmons @JoeBiden Our real challenge is Bay Area has negative unemployment, so if we don’t treat and compensate our (awesome) people well, they have many other offers and will just leave!  I’d like hereby to invite UAW to hold a union vote at their convenience. Tesla will do nothing to stop them."
2022-03-02 04:29:58-05:00,0,"@teslaownersSV 🤣🤣 That was me tweeting from @SpaceX when someone else had snatched my name.   I was actually one of the earliest Twitter users, but dropped my account because people were tweeting such trivialities at first. @westcoastbill convinced me to get back in."
2022-03-02 04:22:13-05:00,1,@WholeMarsBlog The probability of Tesla dying in 2008/2009 was very high. We closed our financing round at 6pm on Dec 24th – the last working hour of the last day before Tesla would otherwise bounce payroll.
2022-03-01 23:04:55-05:00,1,"@JoeBiden Tesla has created over 50,000 US jobs building electric vehicles &amp; is investing more than double GM + Ford combined  [fyi to person controlling this twitter]"
2022-03-01 22:58:18-05:00,0,"@teslaownersSV @WholeMarsBlog Our primary challenge is affordability. Creating an expensive truck is relatively easy.   If it is extremely hard to do so for Tesla, despite our much greater economies of scale &amp; better technology, then it is damn near impossible for others."
2022-03-01 22:52:27-05:00,1,"@WholeMarsBlog @Teslarati @KlenderJoey Saudi Arabia owns 2/3 of Lucid, so inevitable"
2022-03-01 22:41:03-05:00,0,@Teslarati @KlenderJoey Their negative gross margin will be staggering
2022-02-28 23:00:21-05:00,1,"@DriveTeslaca Depends on what issues we see that are unique to Canada. If things are looking good, then we can lower the safety score threshold."
